age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
33,services,divorced,secondary,no,-301,yes,no,,26,may,165,2,-2,0,,0
39,technician,married,,no,863,no,no,,30,may,824,2,0,0,,0
41,admin.,married,,no,525,no,no,cellular,21,nov,178,1,1,0,,0
50,management,married,tertiary,no,-462,yes,no,,15,may,224,2,0,0,,0
28,technician,single,secondary,no,-27,yes,no,cellular,18,may,247,3,1,0,,0
48,blue-collar,married,primary,no,62,no,yes,cellular,17,nov,479,1,0,0,,0
32,services,married,secondary,no,384,yes,no,telephone,13,may,67,1,366,1,failure,0
61,self-employed,divorced,tertiary,no,-32,yes,no,cellular,13,oct,208,1,181,2,success,1
44,management,married,tertiary,no,1751,yes,no,,30,may,46,1,-2,0,,0
47,unemployed,married,secondary,no,320,yes,yes,cellular,19,nov,170,1,175,1,failure,0
34,services,divorced,secondary,no,-189,yes,no,cellular,11,may,248,6,-1,0,,0
37,admin.,married,secondary,no,704,yes,no,cellular,16,jul,113,5,-2,0,,0
46,blue-collar,married,primary,no,7933,yes,no,,19,may,126,1,-2,0,,0
53,management,divorced,tertiary,no,5205,no,yes,cellular,17,nov,564,2,-3,0,,0
36,technician,married,secondary,no,2421,yes,no,cellular,12,aug,110,1,-1,0,,0
57,retired,married,secondary,no,-6,no,yes,cellular,7,jul,355,1,-2,0,,0
51,entrepreneur,married,primary,no,758,yes,no,cellular,8,aug,134,4,-1,0,,0
36,management,divorced,tertiary,no,1066,no,no,cellular,5,feb,383,2,-2,0,,0
30,self-employed,married,tertiary,no,699,no,no,cellular,7,aug,177,4,-1,0,,0
36,services,married,secondary,no,120,no,no,,21,may,114,1,-2,0,,0
33,services,married,secondary,no,384,yes,no,cellular,29,jan,96,1,185,13,other,0
37,self-employed,single,tertiary,no,1212,no,no,cellular,24,jun,306,1,0,0,,1
28,,single,,no,299,no,no,cellular,11,oct,450,1,232,1,success,1
27,services,single,secondary,no,39,yes,no,cellular,11,jul,173,1,-1,0,,0
59,unemployed,divorced,secondary,no,7470,no,no,cellular,15,oct,64,1,-2,0,,0
40,admin.,married,secondary,no,14,no,no,cellular,21,nov,193,2,0,0,,0
31,blue-collar,married,secondary,no,47,yes,no,cellular,8,may,95,2,170,1,failure,0
30,admin.,married,secondary,no,258,yes,no,cellular,12,may,338,1,355,2,failure,0
41,technician,married,secondary,yes,70,no,no,cellular,14,jul,140,2,0,0,,0
32,technician,single,tertiary,no,34662,no,no,telephone,13,aug,614,9,-3,0,,1
60,admin.,married,secondary,no,3526,no,no,telephone,15,jun,352,6,-1,0,,1
59,retired,married,secondary,no,-33,no,no,cellular,6,aug,145,2,-3,0,,0
43,services,single,secondary,no,588,yes,no,cellular,13,may,108,2,-1,0,,0
45,blue-collar,married,secondary,no,-6,yes,no,cellular,13,apr,348,3,257,2,failure,1
38,,married,,no,109,yes,no,,20,may,40,13,0,0,,0
33,services,divorced,secondary,no,-331,yes,no,,27,may,162,2,-2,0,,0
52,blue-collar,divorced,primary,no,51,yes,yes,,6,may,188,1,-1,0,,0
35,admin.,single,secondary,no,76,yes,no,cellular,18,may,174,1,-1,0,,0
56,retired,married,primary,no,1945,no,no,cellular,3,jun,117,1,32,2,failure,0
38,entrepreneur,married,tertiary,no,16,no,no,cellular,23,jul,530,2,0,0,,1
33,management,single,tertiary,no,-27,no,no,cellular,20,aug,295,1,0,0,,0
32,technician,single,tertiary,no,697,no,yes,cellular,13,aug,98,4,104,4,failure,0
59,entrepreneur,married,primary,no,37,no,no,telephone,19,nov,209,2,154,1,failure,0
63,retired,divorced,primary,no,107,no,no,cellular,10,nov,404,2,-1,0,,1
26,blue-collar,married,secondary,no,1705,yes,yes,cellular,18,may,21,1,-2,0,,0
33,student,single,tertiary,no,3440,yes,no,cellular,20,nov,101,2,171,3,failure,0
64,retired,married,tertiary,no,14201,no,no,cellular,24,aug,59,2,0,0,,0
38,services,divorced,secondary,no,6187,yes,no,cellular,14,may,484,3,178,1,other,0
56,unemployed,divorced,secondary,no,737,no,no,,6,jun,181,2,-1,0,,0
34,blue-collar,married,secondary,no,293,yes,yes,cellular,21,nov,14,7,-1,0,,0
35,services,married,secondary,no,32,yes,yes,cellular,5,may,437,2,279,3,failure,0
69,retired,married,tertiary,no,473,no,no,cellular,7,jul,114,1,81,1,failure,0
52,management,married,tertiary,no,53,yes,no,telephone,13,may,181,3,256,6,other,0
31,blue-collar,married,primary,yes,97,yes,no,,27,may,161,2,-1,0,,0
29,services,single,secondary,no,152,no,no,cellular,12,jul,158,1,181,5,failure,0
36,management,married,tertiary,no,11659,yes,no,cellular,20,nov,51,1,-2,0,,0
40,technician,single,secondary,no,2131,no,no,cellular,18,nov,109,3,-2,0,,0
35,management,married,tertiary,no,142,yes,no,cellular,30,apr,567,1,12,1,failure,1
31,admin.,married,secondary,no,1669,yes,no,cellular,11,jul,100,2,-1,0,,0
44,admin.,divorced,secondary,no,-172,yes,no,cellular,15,may,333,1,-1,0,,0
34,blue-collar,married,primary,no,-260,yes,no,,19,may,645,1,-1,0,,0
30,self-employed,single,tertiary,no,886,no,no,cellular,29,mar,94,2,90,2,success,1
44,blue-collar,married,primary,no,630,yes,no,,21,feb,71,1,0,0,,0
42,blue-collar,married,primary,no,685,yes,no,cellular,15,may,1327,6,175,3,failure,0
31,admin.,married,secondary,yes,-22,no,yes,cellular,26,aug,175,2,-1,0,,0
42,management,married,tertiary,no,432,no,yes,cellular,8,jul,168,1,0,0,,0
29,,single,primary,no,89,yes,no,,7,may,51,2,-2,0,,0
29,admin.,single,tertiary,no,89,yes,no,cellular,22,jul,118,1,-1,0,,0
49,admin.,married,secondary,no,1629,no,no,,6,jun,47,1,1,0,,0
30,services,married,secondary,no,90,yes,no,,26,may,1446,7,-1,0,,1
54,blue-collar,married,primary,no,728,yes,yes,telephone,17,apr,157,1,-1,0,,0
43,technician,married,secondary,no,2351,yes,no,,27,may,109,2,-2,0,,0
47,blue-collar,divorced,secondary,no,3813,yes,yes,cellular,17,apr,650,2,-1,0,,0
40,blue-collar,married,primary,no,-332,yes,no,,27,may,264,1,0,0,,0
46,housemaid,single,tertiary,no,3194,no,no,telephone,15,jun,92,2,-2,0,,0
32,technician,single,secondary,no,927,yes,no,,21,may,127,1,0,0,,0
45,unemployed,single,primary,no,8694,no,no,cellular,8,jul,282,2,0,0,,0
46,services,married,secondary,no,3209,yes,no,,15,may,367,1,0,0,,0
33,blue-collar,married,secondary,no,-46,yes,yes,cellular,28,jul,84,12,-1,0,,0
60,technician,divorced,secondary,no,-11,no,no,,6,jun,103,1,-2,0,,0
40,management,married,tertiary,no,14,yes,no,cellular,18,nov,222,3,-1,0,,0
28,services,married,secondary,no,0,yes,no,cellular,5,may,334,1,355,6,failure,0
53,entrepreneur,married,tertiary,no,17450,no,no,cellular,31,jul,59,6,0,0,,0
55,technician,married,secondary,no,3907,yes,no,telephone,28,jul,593,4,1,0,,1
22,services,single,secondary,no,250,yes,no,cellular,18,may,111,3,-1,0,,0
30,self-employed,single,secondary,no,174,no,no,cellular,22,jul,420,1,-1,0,,0
44,management,married,secondary,no,506,yes,yes,cellular,11,may,43,4,-1,0,,0
32,blue-collar,married,secondary,no,431,yes,no,cellular,17,apr,452,1,332,1,failure,0
