age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
52,technician,married,secondary,no,10293,no,no,cellular,25,aug,72,4,-1,0,,0
55,retired,married,,no,69,no,no,cellular,30,jan,143,1,2,3,other,0
51,retired,married,secondary,no,-2685,yes,no,cellular,20,apr,104,5,-1,0,,0
57,retired,married,secondary,no,1470,yes,no,cellular,18,aug,70,5,-1,0,,0
50,retired,married,primary,no,0,yes,no,cellular,11,may,503,3,339,2,failure,0
55,blue-collar,married,,no,639,no,no,cellular,14,aug,406,2,-1,0,,0
49,services,married,secondary,no,3942,no,no,cellular,14,aug,834,14,-1,0,,1
50,admin.,married,secondary,no,300,yes,no,,18,jun,23,1,-1,0,,0
56,retired,married,tertiary,no,9516,yes,no,cellular,5,feb,139,1,-1,0,,0
58,retired,married,secondary,no,3201,no,no,telephone,10,jul,445,1,-1,0,,0
52,retired,divorced,secondary,no,840,no,no,,20,jun,8,12,-1,0,,0
51,technician,married,secondary,no,1113,yes,yes,cellular,21,oct,287,1,-1,0,,1
59,retired,married,tertiary,no,1497,no,no,cellular,29,jan,966,1,-1,0,,0
50,retired,married,tertiary,no,336,yes,no,cellular,4,nov,70,5,85,5,other,0
59,technician,married,secondary,no,7839,no,no,cellular,5,feb,79,1,-1,0,,0
57,management,married,tertiary,no,1164,no,yes,,15,may,262,4,-1,0,,0
58,retired,married,secondary,no,6,no,no,,16,jun,684,1,-1,0,,0
63,admin.,divorced,secondary,no,14040,no,no,cellular,15,sep,953,2,-1,0,,1
57,retired,married,secondary,no,24585,yes,no,,19,may,160,2,-1,0,,0
50,retired,divorced,secondary,no,2283,yes,no,,19,may,169,1,-1,0,,0
69,retired,married,secondary,no,0,no,no,cellular,28,apr,184,2,126,2,other,1
54,retired,married,,no,57,yes,no,cellular,8,may,103,1,368,1,failure,0
53,retired,married,secondary,no,4683,no,no,cellular,20,nov,689,2,-1,0,,0
59,retired,married,primary,no,0,yes,no,cellular,8,may,130,1,-1,0,,0
57,technician,married,secondary,no,0,no,no,,13,may,44,1,-1,0,,0
57,technician,divorced,secondary,no,1410,no,no,cellular,5,aug,480,3,-1,0,,1
53,retired,divorced,secondary,no,1920,yes,no,cellular,11,may,321,2,-1,0,,0
53,blue-collar,divorced,secondary,no,435,yes,no,,8,may,193,1,-1,0,,0
50,blue-collar,married,secondary,no,2751,yes,no,cellular,30,jul,58,2,-1,0,,0
58,management,married,secondary,no,8217,yes,no,cellular,30,jul,86,6,-1,0,,0
49,retired,single,tertiary,no,3,yes,no,,6,jun,59,3,-1,0,,0
57,retired,married,secondary,no,474,yes,no,telephone,10,jul,73,1,-1,0,,0
54,retired,divorced,tertiary,no,2361,no,no,cellular,6,aug,90,2,-1,0,,0
52,technician,married,secondary,no,1113,yes,yes,cellular,21,apr,224,2,182,1,success,1
55,management,married,tertiary,no,14946,yes,no,telephone,18,nov,51,1,-1,0,,0
52,retired,married,secondary,no,597,no,no,cellular,28,jan,978,2,189,1,other,0
55,retired,married,secondary,no,0,no,no,,12,jun,614,2,-1,0,,1
52,management,single,tertiary,no,249,no,no,cellular,26,aug,1223,6,-1,0,,1
59,retired,married,tertiary,no,0,no,no,cellular,17,nov,90,2,110,2,failure,0
50,retired,single,secondary,no,963,no,no,telephone,22,aug,90,11,-1,0,,0
53,retired,single,,no,0,no,no,,12,may,140,7,-1,0,,0
55,retired,married,secondary,no,12690,no,yes,cellular,17,nov,163,3,-1,0,,0
55,technician,married,secondary,no,8280,yes,no,,30,may,267,14,-1,0,,0
50,retired,married,secondary,no,468,no,yes,cellular,14,jul,1130,3,-1,0,,1
64,,married,,no,6840,no,no,telephone,7,sep,289,1,-1,0,,0
54,retired,married,primary,no,5685,yes,no,cellular,17,apr,345,1,-1,0,,0
51,retired,married,,no,672,yes,no,,29,may,52,3,-1,0,,0
55,retired,divorced,primary,no,4260,no,no,,23,jun,655,4,-1,0,,0
49,retired,married,primary,no,7995,yes,no,,13,may,67,1,-1,0,,0
59,retired,married,primary,no,14847,no,yes,,12,jun,168,8,-1,0,,0
55,retired,married,secondary,no,1806,no,no,cellular,7,sep,350,1,98,5,success,1
55,retired,divorced,tertiary,no,20760,yes,no,,6,may,406,3,-1,0,,0
55,retired,married,secondary,no,12582,no,yes,telephone,30,jul,208,3,-1,0,,0
61,retired,single,primary,no,1299,no,no,cellular,5,feb,346,1,-1,0,,0
49,retired,married,primary,no,747,yes,no,cellular,21,nov,450,1,-1,0,,0
57,self-employed,married,secondary,no,23241,no,no,cellular,7,aug,102,2,-1,0,,0
77,retired,married,primary,no,4155,no,no,telephone,8,sep,160,4,-1,0,,0
57,services,married,secondary,no,16458,yes,no,cellular,11,may,86,7,285,3,failure,0
59,management,married,tertiary,no,9495,yes,no,,12,jun,278,2,-1,0,,0
59,retired,married,secondary,no,7401,no,no,cellular,20,nov,972,2,-1,0,,0
60,retired,divorced,tertiary,no,1143,yes,no,cellular,17,apr,208,2,344,4,failure,0
54,entrepreneur,married,tertiary,no,4632,no,yes,cellular,24,jul,82,3,-1,0,,0
55,blue-collar,married,primary,no,0,no,no,cellular,5,aug,334,2,-1,0,,0
52,retired,married,secondary,no,210,yes,no,,3,jun,68,2,-1,0,,0
53,retired,married,secondary,no,315,no,yes,cellular,21,aug,74,2,-1,0,,0
49,retired,divorced,secondary,no,-159,yes,yes,,26,jun,253,1,-1,0,,0
54,services,married,,no,23592,yes,no,,15,may,145,4,-1,0,,0
51,retired,divorced,secondary,no,3,yes,no,,5,jun,290,1,-1,0,,0
49,retired,divorced,secondary,no,2448,yes,no,cellular,14,may,12,7,-1,0,,0
50,retired,married,primary,no,0,no,no,cellular,28,aug,39,4,-1,0,,0
58,retired,married,secondary,no,765,no,no,,28,may,362,3,-1,0,,0
52,retired,married,secondary,no,675,yes,no,,15,may,167,1,-1,0,,0
55,retired,married,primary,no,0,no,no,,17,jun,285,1,-1,0,,0
57,retired,married,primary,no,633,yes,no,cellular,3,apr,239,2,-1,0,,0
49,retired,married,tertiary,no,3315,yes,no,cellular,21,nov,13,3,113,2,other,0
50,retired,single,secondary,no,0,yes,no,telephone,19,nov,590,2,-1,0,,0
60,admin.,married,secondary,no,318,no,no,cellular,21,aug,216,3,91,1,success,1
57,management,married,tertiary,no,5496,yes,no,cellular,2,nov,131,2,-1,0,,0
49,retired,married,primary,no,9,no,yes,cellular,9,jul,1439,6,-1,0,,1
49,retired,married,primary,no,594,yes,no,,6,may,200,2,-1,0,,0
77,retired,married,secondary,no,2460,no,no,telephone,21,oct,330,2,181,4,success,1
71,retired,married,tertiary,no,7953,no,no,cellular,24,aug,73,3,200,2,failure,0
80,retired,married,primary,no,465,no,no,telephone,4,may,209,1,53,3,success,1
67,retired,married,primary,no,774,no,no,cellular,17,dec,221,1,-1,0,,0
50,retired,married,secondary,no,16707,no,no,cellular,7,aug,103,4,-1,0,,0
59,retired,married,primary,no,2805,yes,no,cellular,19,nov,103,3,166,2,failure,0
52,management,married,secondary,no,14619,no,no,cellular,8,jul,99,9,-1,0,,0
50,management,married,secondary,no,804,no,no,cellular,5,mar,61,2,-1,0,,0
49,retired,married,secondary,no,9507,no,no,,9,jun,626,1,-1,0,,0
51,retired,single,tertiary,no,4695,yes,no,cellular,24,jul,870,3,-1,0,,0
50,retired,divorced,secondary,no,8175,no,no,cellular,31,jul,71,4,-1,0,,0
54,retired,married,tertiary,no,585,no,yes,cellular,4,feb,47,1,265,6,other,0
50,retired,single,,no,13998,no,no,cellular,19,nov,11,3,166,3,other,0
51,housemaid,married,secondary,no,1287,no,no,cellular,14,aug,230,2,-1,0,,0
57,retired,married,tertiary,no,4980,no,no,cellular,4,aug,642,1,-1,0,,1
59,retired,married,secondary,no,312,yes,no,,2,jun,92,5,-1,0,,0
57,retired,divorced,primary,no,2160,no,no,telephone,17,feb,202,4,-1,0,,1
54,retired,married,primary,no,4170,no,no,telephone,29,jul,647,2,-1,0,,0
52,retired,divorced,secondary,no,714,yes,no,cellular,6,may,101,1,362,5,other,0
56,retired,single,tertiary,no,37617,no,no,cellular,18,nov,259,1,-1,0,,0
53,retired,married,,no,0,no,no,cellular,21,aug,150,2,-1,0,,0
51,retired,married,secondary,no,1515,yes,no,telephone,7,jul,199,4,-1,0,,0
51,retired,married,secondary,no,156,yes,yes,telephone,23,jul,36,15,-1,0,,0
55,retired,married,tertiary,no,1488,no,no,cellular,25,may,85,1,-1,0,,0
59,management,divorced,tertiary,no,243,no,no,cellular,26,may,140,1,-1,0,,0
49,retired,married,secondary,no,1071,no,no,cellular,29,jul,179,4,-1,0,,0
56,technician,single,primary,no,435,yes,no,telephone,6,feb,124,2,9,2,other,0
58,housemaid,married,primary,no,711,no,no,telephone,18,jul,200,3,-1,0,,0
60,retired,married,tertiary,no,20052,yes,yes,cellular,5,feb,173,1,-1,0,,0
67,retired,married,primary,no,4290,no,no,telephone,12,oct,88,3,-1,0,,0
57,retired,divorced,tertiary,no,7548,yes,no,,15,may,1036,1,-1,0,,0
55,retired,divorced,tertiary,no,1443,yes,no,telephone,8,may,147,2,298,3,failure,0
55,retired,divorced,tertiary,no,1824,yes,no,cellular,7,may,161,2,-1,0,,0
69,retired,married,secondary,no,444,no,no,telephone,4,sep,101,1,-1,0,,0
60,blue-collar,married,primary,no,4416,no,no,,20,jun,36,4,-1,0,,0
56,retired,married,primary,no,5841,no,no,cellular,3,jun,124,1,34,2,failure,0
57,retired,married,secondary,no,22071,no,no,cellular,5,feb,604,1,-1,0,,0
54,retired,divorced,primary,no,6186,yes,no,,14,may,438,2,-1,0,,0
51,retired,married,primary,no,4629,no,no,cellular,4,aug,121,2,-1,0,,0
56,technician,married,tertiary,no,9246,yes,yes,,30,jun,444,3,-1,0,,0
51,technician,married,secondary,no,11697,yes,yes,telephone,18,nov,82,6,-1,0,,0
67,retired,married,tertiary,no,1215,no,no,cellular,7,aug,345,2,-1,0,,1
56,admin.,married,secondary,no,5013,no,no,cellular,28,may,158,2,-1,0,,0
58,entrepreneur,married,tertiary,no,2328,yes,no,telephone,9,jul,990,1,-1,0,,1
70,retired,married,primary,no,7038,no,no,cellular,1,jun,421,1,97,6,success,0
59,technician,married,secondary,no,603,no,no,cellular,5,feb,52,1,8,7,other,0
57,retired,married,secondary,no,8235,yes,no,,17,jun,167,2,-1,0,,0
68,retired,married,tertiary,no,8460,no,no,cellular,5,mar,158,1,92,3,success,0
57,housemaid,married,primary,no,5610,no,no,,17,jun,129,1,-1,0,,0
54,retired,married,,no,2628,yes,no,cellular,28,jan,66,2,198,3,failure,0
58,retired,divorced,tertiary,no,9711,no,no,telephone,31,oct,615,1,-1,0,,1
62,retired,married,secondary,no,8751,no,no,cellular,11,oct,123,2,182,2,failure,0
51,retired,divorced,primary,no,465,yes,yes,cellular,9,apr,220,1,142,1,failure,0
52,management,married,tertiary,no,11262,no,no,cellular,18,jul,127,2,-1,0,,0
58,retired,married,primary,no,4971,no,no,,6,jun,172,2,-1,0,,0
50,retired,married,primary,no,-474,no,no,cellular,22,aug,203,4,-1,0,,0
54,retired,divorced,secondary,no,2205,no,no,cellular,28,oct,300,1,-1,0,,0
77,retired,divorced,primary,no,8079,no,no,cellular,25,oct,83,2,94,12,other,0
57,retired,married,secondary,no,1311,yes,no,,19,may,44,4,-1,0,,0
56,management,married,tertiary,no,1995,no,no,cellular,29,aug,25,12,-1,0,,0
56,retired,divorced,secondary,no,-1287,no,yes,cellular,19,nov,120,2,119,4,failure,0
54,technician,single,tertiary,no,4299,yes,yes,,18,jun,18,20,-1,0,,0
53,retired,divorced,secondary,no,6468,yes,no,cellular,23,jul,671,4,-1,0,,0
49,management,single,tertiary,no,13395,yes,no,cellular,20,nov,72,2,-1,0,,0
53,retired,married,primary,no,513,yes,yes,cellular,5,may,343,4,167,6,other,0
60,retired,married,secondary,no,4614,no,no,cellular,13,aug,352,2,-1,0,,0
