age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
59,blue-collar,married,primary,no,1736,yes,no,cellular,18,nov,290,5,-1,0,,0
68,retired,married,primary,no,3730,no,no,cellular,5,jun,430,4,-1,0,,1
56,self-employed,married,secondary,no,934,yes,yes,cellular,15,may,243,4,-1,0,,0
44,technician,married,secondary,no,1577,no,no,cellular,28,aug,260,5,-1,0,,0
42,management,married,tertiary,no,2173,no,no,cellular,22,jul,387,20,-1,0,,0
67,services,divorced,secondary,no,998,yes,no,,28,may,277,4,-1,0,,0
52,admin.,married,secondary,no,1878,yes,no,,13,may,365,4,-1,0,,0
57,management,married,secondary,no,6762,yes,no,cellular,16,apr,437,5,-1,0,,0
61,blue-collar,married,primary,no,8830,no,no,,11,jun,201,4,-1,0,,0
36,technician,single,secondary,no,1794,no,no,cellular,30,oct,392,4,-1,0,,1
47,admin.,married,tertiary,no,1779,no,no,cellular,14,may,579,5,183,2,other,1
52,entrepreneur,married,primary,no,2069,yes,no,telephone,8,may,192,12,-1,0,,0
66,technician,married,secondary,no,1814,no,no,cellular,19,aug,210,7,-1,0,,0
75,retired,married,secondary,no,3120,no,no,cellular,12,nov,352,4,92,1,failure,0
55,blue-collar,married,secondary,no,3821,no,yes,telephone,22,jul,1323,5,-1,0,,0
46,blue-collar,married,secondary,no,2080,yes,no,cellular,13,may,952,5,-1,0,,0
59,self-employed,married,tertiary,no,3893,no,no,cellular,20,nov,401,6,-1,0,,0
42,services,divorced,secondary,no,2203,yes,no,cellular,17,apr,504,4,150,2,failure,0
69,admin.,married,secondary,no,2839,no,no,telephone,3,feb,439,5,-1,0,,0
60,admin.,divorced,secondary,no,2131,no,no,cellular,5,feb,694,4,212,2,other,0
52,admin.,single,secondary,no,4540,yes,no,cellular,7,may,600,4,336,1,failure,0
47,admin.,married,secondary,no,1750,yes,no,,20,jun,201,9,-1,0,,0
52,blue-collar,married,primary,no,2010,yes,no,telephone,31,jul,350,5,-1,0,,0
68,technician,married,,no,1799,yes,no,,15,may,250,5,-1,0,,0
50,admin.,married,secondary,no,2084,yes,no,,6,jun,259,8,-1,0,,0
34,services,single,secondary,no,1658,yes,no,cellular,18,may,420,4,-1,0,,0
49,technician,divorced,secondary,no,2557,yes,yes,cellular,13,may,244,4,260,6,failure,0
53,management,married,tertiary,no,7420,yes,no,,15,may,359,5,-1,0,,0
49,blue-collar,married,secondary,no,1873,yes,no,,6,jun,340,6,-1,0,,0
42,management,single,secondary,no,2666,yes,no,,16,may,556,5,-1,0,,0
44,admin.,divorced,secondary,no,2411,yes,no,cellular,5,aug,420,5,183,10,failure,1
52,technician,married,secondary,no,2065,yes,no,,6,may,434,5,-1,0,,0
42,technician,divorced,tertiary,no,1803,no,no,cellular,22,aug,846,5,-1,0,,1
37,admin.,single,secondary,no,2142,yes,yes,,21,may,467,5,-1,0,,0
54,technician,divorced,secondary,no,2732,yes,no,,20,may,825,6,-1,0,,1
42,unemployed,married,tertiary,no,1750,no,no,cellular,4,feb,281,4,-1,0,,0
49,management,married,tertiary,no,3976,yes,no,cellular,18,aug,278,11,-1,0,,0
