age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
35,admin.,married,secondary,no,0,no,no,cellular,17,jul,80,5,-1,0,,0
44,services,married,primary,no,764,no,no,cellular,3,feb,224,1,-1,0,,0
29,management,single,tertiary,no,630,no,no,cellular,11,aug,94,3,-1,0,,0
28,technician,single,tertiary,no,387,yes,no,cellular,20,apr,205,1,82,1,failure,1
46,management,married,tertiary,no,197,no,no,cellular,20,nov,118,4,-1,0,,0
38,blue-collar,married,secondary,no,1403,no,no,,19,jun,146,2,-1,0,,0
39,entrepreneur,divorced,tertiary,yes,-251,no,no,,20,jun,421,6,-1,0,,0
31,management,married,tertiary,no,8279,no,no,cellular,6,aug,533,2,-1,0,,1
43,housemaid,married,primary,no,0,no,yes,cellular,17,nov,836,1,129,2,failure,0
40,technician,married,secondary,no,1159,no,no,telephone,21,oct,19,1,-1,0,,0
35,admin.,divorced,secondary,no,20,no,yes,cellular,17,jul,287,1,-1,0,,0
38,technician,married,secondary,no,79,yes,no,cellular,20,aug,209,2,-1,0,,0
59,retired,married,primary,no,1425,yes,no,cellular,28,aug,299,3,-1,0,,0
35,management,single,tertiary,no,671,yes,no,cellular,1,jun,128,1,83,1,success,0
59,technician,married,secondary,no,0,no,no,,1,jul,249,1,-1,0,,0
30,management,single,tertiary,no,9,yes,yes,cellular,15,may,582,2,-1,0,,0
33,unemployed,divorced,secondary,no,1005,yes,no,telephone,10,nov,175,1,174,2,failure,0
37,admin.,single,secondary,no,0,yes,no,,5,may,137,1,-1,0,,0
54,management,married,secondary,no,282,yes,yes,,5,may,154,1,-1,0,,0
41,blue-collar,married,secondary,no,1882,yes,yes,telephone,29,jul,165,2,-1,0,,1
73,retired,married,primary,no,542,no,no,telephone,29,apr,107,5,-1,0,,0
37,blue-collar,single,secondary,no,6,no,no,cellular,29,jan,163,2,-1,0,,0
40,blue-collar,married,secondary,no,0,yes,no,,6,may,225,1,-1,0,,0
51,management,married,tertiary,no,1944,yes,no,,27,may,217,2,-1,0,,0
33,self-employed,single,secondary,no,136,yes,no,cellular,18,may,30,2,336,13,other,0
45,self-employed,married,tertiary,no,1265,yes,no,cellular,6,feb,79,2,-1,0,,0
44,services,married,secondary,no,182,yes,yes,cellular,7,jul,209,4,-1,0,,0
49,management,single,tertiary,no,151,yes,no,cellular,8,jul,97,3,-1,0,,1
