age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
41,,single,,no,942,no,no,cellular,27,oct,143,1,188,1,success,1
34,admin.,married,secondary,no,774,yes,yes,cellular,14,may,163,1,175,6,other,0
51,,married,,no,2642,no,no,cellular,29,jul,52,6,-1,0,,1
31,technician,single,tertiary,no,1887,no,yes,,21,may,389,1,-1,0,,1
37,blue-collar,married,primary,no,380,yes,yes,cellular,4,jul,548,2,-1,0,,0
32,management,divorced,tertiary,no,1,yes,no,,8,may,399,4,-1,0,,0
34,blue-collar,married,primary,no,373,yes,no,cellular,12,may,481,2,-1,0,,0
57,admin.,married,secondary,no,2087,yes,no,cellular,20,apr,140,4,343,1,failure,0
47,management,divorced,tertiary,no,0,no,no,cellular,28,apr,186,2,-1,0,,0
29,services,married,secondary,no,13,no,no,cellular,10,jul,90,1,-1,0,,0
59,management,married,tertiary,no,518,no,no,cellular,11,aug,230,2,-1,0,,0
47,admin.,divorced,secondary,no,136,no,yes,cellular,23,jul,70,1,-1,0,,0
40,self-employed,married,tertiary,no,2977,yes,no,cellular,19,nov,375,1,125,1,failure,1
27,admin.,single,secondary,no,0,yes,no,cellular,18,may,552,5,-1,0,,0
36,management,married,tertiary,no,531,yes,no,,17,jun,187,2,-1,0,,0
49,technician,married,primary,no,1569,no,no,cellular,14,jan,470,1,196,1,other,1
54,admin.,divorced,secondary,no,1872,no,no,cellular,13,feb,439,5,-1,0,,1
37,admin.,married,secondary,no,5132,no,no,cellular,31,jul,536,8,-1,0,,1
31,student,single,secondary,no,3511,no,no,cellular,2,jul,667,1,-1,0,,1
44,management,married,tertiary,no,2400,no,no,,20,jun,82,1,-1,0,,1
46,technician,divorced,secondary,no,164,yes,no,,9,may,229,2,-1,0,,0
41,blue-collar,married,secondary,no,2413,no,no,,16,jun,64,3,-1,0,,1
36,technician,single,secondary,no,279,yes,no,cellular,21,jul,171,1,-1,0,,0
26,unemployed,married,tertiary,no,0,yes,no,cellular,5,may,319,1,-1,0,,0
49,blue-collar,married,secondary,no,30,yes,no,,5,may,135,4,-1,0,,0
33,blue-collar,married,secondary,no,5164,no,no,cellular,13,aug,238,2,265,1,failure,1
43,technician,single,secondary,no,1462,no,no,,9,jun,75,2,-1,0,,0
51,blue-collar,married,secondary,no,814,yes,no,cellular,14,may,17,8,-1,0,,0
42,admin.,divorced,secondary,no,936,no,no,cellular,30,jan,931,1,-1,0,,1
33,technician,married,tertiary,no,2976,yes,no,cellular,9,nov,465,2,95,12,other,1
42,services,married,secondary,no,0,yes,no,cellular,31,jul,17,20,-1,0,,0
42,blue-collar,married,secondary,yes,-204,yes,no,cellular,11,may,34,1,361,7,failure,0
38,management,married,tertiary,no,238,no,no,cellular,4,may,131,1,90,2,success,0
43,technician,married,secondary,no,2344,yes,no,,27,may,111,2,-1,0,,1
39,entrepreneur,single,tertiary,no,1837,no,no,cellular,29,jan,199,1,-1,0,,1
39,admin.,married,secondary,no,367,yes,no,,7,may,106,1,-1,0,,0
56,blue-collar,married,secondary,no,0,no,yes,cellular,16,jul,390,2,-1,0,,0
48,unemployed,single,primary,no,63,no,no,cellular,30,jul,29,4,-1,0,,0
32,blue-collar,single,secondary,no,1721,yes,no,,21,may,650,2,-1,0,,1
46,admin.,divorced,primary,no,50,yes,yes,cellular,23,jul,379,1,-1,0,,0
45,housemaid,married,primary,no,0,no,no,cellular,14,aug,195,2,-1,0,,0
30,management,married,tertiary,no,900,no,no,cellular,18,nov,123,1,124,2,failure,0
35,management,single,secondary,no,3384,yes,no,cellular,31,jul,372,2,-1,0,,1
