age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
49,technician,married,secondary,no,994,no,no,telephone,28,jan,89,4,160,13,failure,0
57,management,married,tertiary,no,386,no,yes,cellular,22,jul,81,4,-1,0,,0
36,admin.,married,secondary,no,930,yes,yes,cellular,11,may,263,2,-1,0,,0
65,retired,single,tertiary,no,420,no,no,cellular,27,jul,117,3,-1,0,,0
41,admin.,married,secondary,no,490,no,no,cellular,4,may,75,6,-1,0,,0
34,technician,single,secondary,no,782,no,no,cellular,20,aug,594,4,-1,0,,0
50,blue-collar,married,secondary,no,350,no,no,cellular,6,aug,346,6,-1,0,,0
31,technician,single,secondary,no,4201,no,no,cellular,2,nov,94,3,-1,0,,0
44,management,divorced,tertiary,no,350,no,no,cellular,17,nov,151,2,-1,0,,0
58,retired,married,secondary,no,1078,no,no,cellular,31,jul,142,16,-1,0,,0
39,blue-collar,married,tertiary,no,709,no,yes,cellular,7,aug,3457,3,-1,0,,0
32,admin.,married,,no,354,yes,no,cellular,29,jul,211,22,-1,0,,0
36,services,married,secondary,no,350,yes,no,,21,may,907,6,-1,0,,0
57,management,married,tertiary,no,350,no,no,,29,may,241,3,-1,0,,0
52,technician,married,secondary,no,2115,yes,no,,12,jun,282,3,-1,0,,0
60,management,married,tertiary,no,350,no,no,,20,jun,57,5,-1,0,,0
38,blue-collar,married,secondary,no,863,yes,no,,16,may,462,4,-1,0,,0
35,blue-collar,single,tertiary,no,3796,yes,no,cellular,28,apr,118,3,-1,0,,0
49,unemployed,married,secondary,no,350,no,no,,19,jun,319,2,-1,0,,0
54,admin.,married,secondary,no,772,no,no,,19,jun,594,2,-1,0,,0
26,technician,single,tertiary,no,2304,yes,yes,,27,may,113,2,-1,0,,0
55,management,married,tertiary,no,350,yes,no,cellular,9,jul,331,2,-1,0,,0
36,management,single,tertiary,no,1158,no,no,cellular,26,may,411,3,97,1,other,0
32,technician,single,tertiary,no,2675,no,no,cellular,10,nov,169,2,92,8,success,0
53,admin.,married,secondary,no,3012,no,no,telephone,28,jan,183,3,-1,0,,0
29,services,single,secondary,no,818,yes,no,cellular,13,may,144,2,-1,0,,0
61,services,married,secondary,no,657,yes,yes,,6,may,285,8,-1,0,,0
50,blue-collar,married,primary,no,1069,no,yes,cellular,11,aug,453,6,-1,0,,1
59,management,married,tertiary,no,425,no,no,cellular,28,aug,295,6,-1,0,,0
31,services,single,secondary,no,370,yes,no,,15,may,466,2,-1,0,,0
28,technician,single,secondary,no,857,no,no,cellular,30,apr,415,2,-1,0,,1
56,management,married,secondary,no,3245,yes,no,cellular,9,feb,55,3,256,1,failure,0
48,blue-collar,married,primary,no,970,yes,no,cellular,20,aug,209,3,-1,0,,0
47,admin.,married,secondary,no,3657,no,no,cellular,30,jul,164,3,-1,0,,0
44,management,single,secondary,no,400,no,no,,5,may,83,2,-1,0,,0
55,management,married,primary,no,211,no,no,cellular,9,jul,363,4,-1,0,,0
37,blue-collar,married,secondary,no,456,yes,no,cellular,14,apr,287,6,-1,0,,0
45,management,divorced,tertiary,no,521,no,no,cellular,18,aug,102,3,-1,0,,0
48,management,married,secondary,no,1649,yes,no,cellular,14,jul,139,3,-1,0,,0
40,blue-collar,married,secondary,no,1377,yes,no,cellular,15,may,47,6,-1,0,,0
51,technician,married,primary,no,2228,yes,no,,14,may,302,2,-1,0,,0
45,technician,married,primary,no,551,no,no,cellular,21,nov,104,3,-1,0,,0
