age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
56,entrepreneur,married,secondary,no,3647,yes,no,,2,jun,200,11,-1,0,,0
59,technician,married,secondary,no,358,yes,no,,27,may,412,4,-1,0,,0
54,admin.,married,secondary,no,1257,yes,no,,23,may,1174,11,-1,0,,0
46,technician,married,secondary,no,1675,yes,no,cellular,3,apr,417,4,333,1,failure,0
45,management,single,tertiary,no,3563,no,no,cellular,25,jan,254,3,234,1,failure,0
37,blue-collar,divorced,secondary,no,1702,yes,no,cellular,5,feb,256,3,192,8,other,0
43,technician,single,tertiary,no,3412,yes,no,,20,may,553,4,-1,0,,0
69,blue-collar,married,secondary,no,1672,no,no,cellular,29,oct,458,3,269,1,failure,0
40,unemployed,married,secondary,no,1400,no,no,cellular,19,nov,443,5,-1,0,,0
65,admin.,married,primary,no,1602,yes,no,cellular,20,apr,347,3,346,2,failure,0
42,housemaid,married,tertiary,no,1400,no,no,cellular,18,aug,288,3,84,2,failure,1
50,services,married,secondary,no,1498,yes,no,telephone,28,jul,368,4,-1,0,,0
49,admin.,single,secondary,no,1734,yes,no,cellular,13,may,154,6,331,22,other,0
34,technician,single,tertiary,no,1443,yes,yes,cellular,29,jan,309,5,246,1,failure,0
67,housemaid,married,primary,no,2500,no,no,cellular,18,aug,287,12,-1,0,,0
42,blue-collar,married,secondary,no,3297,yes,yes,cellular,19,nov,581,3,-1,0,,0
61,blue-collar,married,secondary,no,1324,no,no,cellular,29,jan,313,3,164,4,other,0
38,management,single,tertiary,no,1902,no,no,cellular,11,oct,603,5,95,6,success,1
44,technician,married,secondary,no,1221,yes,no,cellular,17,jul,284,3,-1,0,,0
54,services,married,secondary,no,10477,yes,no,cellular,17,apr,567,4,337,1,failure,0
34,blue-collar,single,secondary,no,6151,no,no,cellular,3,feb,371,5,-1,0,,0
34,technician,single,tertiary,no,1652,yes,no,cellular,29,jan,327,3,-1,0,,0
58,technician,married,tertiary,no,1647,no,no,,23,may,313,3,-1,0,,0
55,technician,married,secondary,no,1903,yes,no,,6,may,249,4,-1,0,,0
67,self-employed,married,tertiary,no,3413,no,no,cellular,19,feb,362,6,94,2,success,1
60,admin.,married,secondary,no,1432,no,yes,cellular,9,jul,243,3,-1,0,,0
87,retired,married,secondary,no,2068,no,no,telephone,2,jul,503,3,-1,0,,1
41,management,married,tertiary,no,1400,no,no,cellular,26,aug,266,4,-1,0,,0
67,housemaid,divorced,secondary,no,46541,no,no,,6,jun,182,3,-1,0,,0
50,admin.,married,secondary,no,1614,yes,no,,28,may,161,26,-1,0,,0
43,blue-collar,married,secondary,no,2788,yes,no,,28,may,259,7,-1,0,,0
56,housemaid,married,primary,no,1369,yes,no,cellular,16,jul,268,4,-1,0,,0
37,management,single,tertiary,no,1708,no,no,cellular,4,feb,302,4,184,1,failure,0
33,admin.,single,secondary,no,3271,no,no,cellular,8,sep,400,3,96,1,success,1
45,technician,married,secondary,no,1501,no,no,cellular,17,jul,270,3,-1,0,,0
56,management,married,tertiary,no,7287,no,no,cellular,13,aug,367,4,-1,0,,0
45,admin.,single,tertiary,no,1400,yes,no,cellular,5,may,482,4,-1,0,,0
36,blue-collar,married,primary,no,1686,yes,no,,13,may,377,3,-1,0,,0
45,blue-collar,married,secondary,no,1687,yes,no,,6,jun,331,4,-1,0,,0
33,blue-collar,married,primary,no,1572,yes,no,,29,may,235,5,-1,0,,0
52,blue-collar,married,secondary,no,1400,yes,no,,14,may,241,4,-1,0,,0
44,blue-collar,married,secondary,no,1742,yes,no,cellular,18,nov,445,3,-1,0,,0
49,unemployed,married,primary,yes,819,yes,no,,8,may,358,4,-1,0,,0
67,management,married,tertiary,no,1715,no,no,cellular,7,sep,238,4,-1,0,,0
39,admin.,single,secondary,no,8381,yes,no,cellular,20,nov,767,5,-1,0,,0
41,management,married,tertiary,no,1405,yes,no,,7,aug,152,3,-1,0,,0
43,management,married,tertiary,no,1672,yes,yes,cellular,11,jul,303,4,-1,0,,0
55,entrepreneur,married,secondary,no,1400,no,no,,19,jun,703,4,-1,0,,0
45,technician,married,secondary,no,2709,yes,no,cellular,28,aug,217,6,-1,0,,0
39,admin.,married,secondary,no,9695,yes,no,cellular,17,apr,358,3,149,1,failure,0
49,management,married,tertiary,no,1409,yes,no,cellular,22,jul,222,5,-1,0,,0
40,technician,single,tertiary,no,1657,yes,no,,2,jun,323,7,-1,0,,0
48,unemployed,single,tertiary,no,9368,no,no,cellular,2,mar,403,4,180,2,success,1
39,services,married,secondary,no,3450,yes,no,cellular,18,nov,411,7,-1,0,,0
51,blue-collar,married,primary,no,2287,yes,no,,14,may,351,3,-1,0,,0
49,blue-collar,single,secondary,yes,2485,yes,yes,cellular,7,jul,739,3,-1,0,,1
63,technician,single,secondary,no,1549,yes,no,cellular,11,aug,243,17,-1,0,,0
70,management,married,tertiary,no,2397,no,no,cellular,22,apr,694,3,304,2,success,1
43,management,single,tertiary,no,1401,yes,no,cellular,5,may,220,3,285,1,failure,0
44,technician,married,primary,no,5985,yes,no,,29,may,451,5,-1,0,,0
43,blue-collar,single,secondary,no,1363,yes,yes,,2,jun,416,4,-1,0,,0
31,admin.,single,secondary,no,2149,no,no,cellular,9,jul,455,6,-1,0,,0
46,housemaid,single,primary,no,1599,yes,no,cellular,12,may,1343,3,306,1,failure,1
43,management,married,tertiary,no,2653,yes,no,,19,may,350,4,-1,0,,0
36,technician,divorced,tertiary,no,1447,no,no,cellular,21,jul,444,5,-1,0,,0
56,technician,divorced,secondary,no,2191,no,no,cellular,7,aug,359,4,-1,0,,0
50,management,divorced,tertiary,no,3175,yes,no,telephone,5,feb,416,7,-1,0,,0
51,admin.,single,secondary,no,2133,yes,no,cellular,21,aug,266,3,88,4,success,1
38,blue-collar,married,secondary,no,2571,yes,no,cellular,17,apr,185,9,324,2,failure,0
52,blue-collar,married,secondary,no,1737,yes,no,telephone,28,jul,397,5,-1,0,,0
42,blue-collar,married,secondary,no,1686,yes,no,,9,may,274,4,-1,0,,0
43,admin.,divorced,secondary,no,1934,no,no,cellular,7,jul,288,5,-1,0,,0
37,blue-collar,married,secondary,yes,757,yes,no,cellular,18,jul,417,3,-1,0,,0
55,technician,married,secondary,no,1489,no,no,,5,jun,427,3,-1,0,,0
52,admin.,married,secondary,no,2780,yes,no,cellular,12,may,380,3,-1,0,,0
47,management,married,tertiary,no,2591,no,no,,17,jun,279,3,-1,0,,0
41,admin.,married,tertiary,no,1605,no,no,,1,jul,296,4,-1,0,,0
66,management,divorced,tertiary,no,1508,no,no,cellular,12,aug,371,6,-1,0,,0
44,admin.,single,secondary,no,2210,yes,no,,17,jun,436,3,-1,0,,0
46,blue-collar,married,primary,no,1578,yes,no,,20,may,385,3,-1,0,,0
34,technician,married,secondary,no,2276,yes,no,,28,may,853,3,-1,0,,0
91,retired,married,tertiary,no,7636,no,no,cellular,11,aug,295,3,190,2,failure,0
57,blue-collar,married,primary,no,1874,yes,yes,telephone,9,feb,292,5,221,1,failure,0
37,technician,single,secondary,no,2106,yes,no,cellular,18,may,1480,3,-1,0,,1
51,management,single,tertiary,no,2346,no,no,telephone,28,aug,180,3,-1,0,,0
44,self-employed,single,tertiary,no,1400,yes,no,cellular,30,apr,344,3,-1,0,,0
31,blue-collar,married,secondary,no,1400,yes,no,cellular,14,may,363,3,-1,0,,0
51,admin.,single,secondary,no,2385,yes,yes,,20,jun,191,21,-1,0,,0
68,retired,married,primary,no,3120,no,no,telephone,6,aug,255,7,-1,0,,0
49,technician,married,secondary,no,2141,yes,no,cellular,6,may,746,5,335,6,other,0
48,blue-collar,divorced,secondary,no,1400,yes,no,,6,may,261,4,-1,0,,0
47,technician,married,secondary,no,1408,no,yes,cellular,17,nov,473,4,96,2,failure,0
48,blue-collar,divorced,secondary,no,974,no,yes,,26,may,385,3,-1,0,,0
57,technician,married,secondary,yes,1326,yes,no,cellular,19,nov,254,3,-1,0,,0
