age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
42,management,single,tertiary,no,976,yes,yes,cellular,8,jul,581,4,-1,0,,0
42,technician,married,tertiary,no,5646,yes,no,cellular,8,oct,339,4,175,2,success,1
49,services,divorced,secondary,no,2090,yes,no,,19,may,657,5,-1,0,,1
39,technician,single,secondary,no,1070,yes,no,cellular,7,aug,236,4,-1,0,,0
50,management,single,tertiary,no,-263,yes,yes,cellular,15,may,209,12,-1,0,,0
40,management,single,tertiary,no,1050,no,no,cellular,5,feb,176,3,-1,0,,0
52,technician,married,secondary,no,1118,yes,yes,,16,jun,192,5,-1,0,,0
43,management,married,tertiary,no,1397,yes,no,cellular,22,jul,387,3,-1,0,,0
46,technician,married,secondary,no,1747,no,no,cellular,24,jun,325,4,219,2,other,0
63,,married,,no,20318,no,no,,23,oct,406,3,-1,0,,1
66,technician,married,secondary,no,1344,no,no,telephone,18,dec,209,7,198,4,success,0
54,housemaid,married,secondary,no,2447,no,no,cellular,31,jul,171,4,-1,0,,0
36,technician,single,tertiary,no,3375,no,no,cellular,10,nov,239,3,92,8,success,0
40,technician,married,secondary,no,1228,yes,no,cellular,13,may,358,3,-1,0,,0
44,admin.,married,secondary,no,1058,yes,no,,7,may,230,3,-1,0,,0
33,blue-collar,married,primary,no,1050,no,no,telephone,2,feb,150,3,-1,0,,0
33,technician,single,secondary,no,1140,no,no,cellular,2,feb,187,5,-1,0,,0
37,management,married,tertiary,no,1482,yes,no,cellular,21,nov,302,3,-1,0,,0
40,management,married,tertiary,no,1050,yes,no,,8,may,319,4,-1,0,,0
33,management,single,tertiary,no,1878,no,no,cellular,30,apr,348,3,-1,0,,0
35,blue-collar,married,secondary,no,3826,yes,no,,27,may,338,3,-1,0,,0
40,services,single,secondary,no,1050,yes,no,cellular,6,may,412,4,-1,0,,0
66,technician,married,tertiary,no,1050,no,no,,6,jun,425,3,-1,0,,0
41,blue-collar,single,primary,no,1046,yes,no,cellular,18,may,283,3,-1,0,,0
